일자,시간,구,기온,습도,강수량,풍속,미세먼지,date,day
20190130,1800,영등포구,1.8,43,0,3.8,70,2019-01-30,3
20190130,1900,영등포구,1.8,41,0,2.8,70,2019-01-30,3
20190131,700,강서구,-2,21,0,2,73,2019-01-31,4
20190131,800,강서구,-2,22,0,1.9,73,2019-01-31,4
20190131,1800,강서구,-2,42,0,1.1,73,2019-01-31,4
20190131,1900,강서구,-2,43,0,0.5,73,2019-01-31,4
20190131,700,마포구,-2,30,0,4.2,87,2019-01-31,4
20190131,800,마포구,-2,27,0,3.5,87,2019-01-31,4
20190131,1800,마포구,-2,40,0,1.3,87,2019-01-31,4
20190131,1900,마포구,-2,41,0,1.1,87,2019-01-31,4
20190131,700,송파구,-2,23,0,2.4,80,2019-01-31,4
20190131,800,송파구,-2,23,0,2.2,80,2019-01-31,4
20190131,1800,송파구,-2,42,0,0.9,80,2019-01-31,4
20190131,1900,송파구,-2,44,0,0.6,80,2019-01-31,4
20190131,700,영등포구,-2,30,0,4.2,79,2019-01-31,4
20190131,800,영등포구,-2,27,0,3.5,79,2019-01-31,4
20190131,1800,영등포구,-2,40,0,1.3,79,2019-01-31,4
20190131,1900,영등포구,-2,41,0,1.1,79,2019-01-31,4
20190201,700,강서구,-2.1,63,0,1.6,39,2019-02-01,5
20190201,800,강서구,-2.1,69,0,1.5,39,2019-02-01,5
20190201,1800,강서구,-2.1,64,0,1.2,39,2019-02-01,5
20190201,1900,강서구,-2.1,70,0,0.2,39,2019-02-01,5
20190201,700,마포구,-2.1,61,0,1.9,41,2019-02-01,5
20190201,800,마포구,-2.1,69,0,2.2,41,2019-02-01,5
20190201,1800,마포구,-2.1,74,0,2.1,41,2019-02-01,5
20190201,1900,마포구,-2.1,70,0,2,41,2019-02-01,5
20190201,700,송파구,-2.1,58,0,3.2,37,2019-02-01,5
20190201,800,송파구,-2.1,67,0,1.9,37,2019-02-01,5
20190201,1800,송파구,-2.1,84,0,1,37,2019-02-01,5
20190201,1900,송파구,-2.1,82,0,0.4,37,2019-02-01,5
20190201,700,영등포구,-2.1,61,0,1.9,41,2019-02-01,5
20190201,800,영등포구,-2.1,69,0,2.2,41,2019-02-01,5
